Date,Toyota,Ford,GM
1/13/03,-0.0083019,-0.0139874,0.00978427
1/21/03,-0.0123579,-0.0180148,-0.0274558
1/27/03,-0.0249753,-0.0247034,-0.0144075
2/3/03,0.01517502,-0.0154138,-0.0037151
2/10/03,0.00018183,-0.0050729,-0.0306033
2/18/03,-0.0042014,-0.01324,0.01169143
2/24/03,-0.0140844,-0.0058848,-0.002972
3/3/03,0.00028432,-0.0616469,-0.0356393
3/10/03,-0.0082252,-0.0289402,0.01226285
3/17/03,0.01284285,0.07428774,0.0419645
3/24/03,-0.0068022,-0.0338915,-0.015772
3/31/03,-0.0253897,0.02707162,0.01138896
4/7/03,-0.0220533,0.01171341,-0.0007602
4/14/03,0.01615827,0.06485632,0.00664441
4/21/03,-0.0094134,0.02444506,0.00298691
4/28/03,0.02449812,0.00785187,0.00222678
5/5/03,0.01800543,-0.0063688,0.00206807
5/12/03,-0.0118228,0.00539503,-0.013166
5/19/03,0.00048693,-0.0204588,-0.0148333
5/27/03,0.01558217,0.04092795,0.02622722
6/2/03,0.02535016,0.00874602,0.00500209
6/9/03,0.01127874,0.01035692,0.00552323
6/16/03,0.01141377,0.02127405,0.02783009
6/23/03,-0.0101211,-0.0190549,-0.0288423
6/30/03,0.01861246,-0.0062425,-0.0040725
7/7/03,0.01347387,0.01630724,-0.0004386
7/14/03,-0.0207899,-0.0113949,0.00160607
7/21/03,-0.0050598,-0.000889,0.01164707
7/28/03,-0.0183654,0.00133287,0.00493762
8/4/03,0.00719599,-0.0076076,-0.0033797
8/11/03,0.03235871,0.0022514,0.00728981
8/18/03,0.00394048,0.01803406,0.01810673
8/25/03,-0.0041829,0.01273682,0.02625834
9/2/03,0.02702731,0.00623102,0.00647841
9/8/03,0.03057042,-0.0049776,-0.0018589
9/15/03,0.00813493,-0.0033504,0.00358668
9/22/03,-0.0269416,-0.0193434,-0.0151652
9/29/03,0.01382293,0.01554301,0.01058385
10/6/03,0.00313932,0.01088934,0.01396329
10/13/03,-0.0034975,0.01583858,0.00348158
10/20/03,-0.0195691,-0.0084566,-0.0132332
10/27/03,-0.0106245,0.01203109,0.00854457
11/3/03,0.03821729,0.00197317,0.00253093
11/10/03,-0.007952,0.0267225,-0.001565
11/17/03,-0.0228009,-0.0208562,-0.0068069
11/24/03,0.00398404,0.0289261,0.01196213
12/1/03,0.02486515,-0.0076998,0.03203994
12/8/03,0.01860411,0.0244535,0.03384996
12/15/03,0.01431687,0.04544267,0.00498902
12/22/03,-0.0050734,0.02597681,0.0219118
12/29/03,0.01086447,-0.0026781,0.00545207
1/5/04,0.00283475,0.01293864,0.00142345
1/12/04,-0.0028994,-0.0114488,0.00207933
